1338,65828385,57803,2019-03-21 13:38:59,2019-03-21 13:39:21,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1339,65828439,57096,2019-03-21 13:39:49,2019-03-21 13:39:59,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1340,65828444,57803,2019-03-21 13:39:56,2019-03-21 13:40:19,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Poza stacją…
1341,65828473,57096,2019-03-21 13:40:34,2019-03-21 13:40:41,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1342,65828487,57096,2019-03-21 13:40:49,2019-03-21 13:40:56,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1343,65828507,57096,2019-03-21 13:41:05,2019-03-21 13:41:15,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1344,65828541,57096,2019-03-21 13:41:34,2019-03-21 13:41:41,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1345,65828602,57803,2019-03-21 13:42:24,2019-03-21 13:51:17,Poza stacją…,Dworzec Głółwny 
1346,65828954,57078,2019-03-21 13:47:13,2019-03-21 13:51:17,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Poza stacją…
1347,65828949,57924,2019-03-21 13:47:07,2019-03-21 13:51:51,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Dworzec Głółwny 
1348,65829029,57948,2019-03-21 13:48:13,2019-03-21 13:51:53,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Dworzec Głółwny 
1349,65828971,57554,2019-03-21 13:47:27,2019-03-21 13:51:55,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Dworzec Głółwny 
1350,65829539,57078,2019-03-21 13:54:53,2019-03-21 13:55:06,Poza stacją…,Poza stacją…
1351,65829697,57078,2019-03-21 13:57:27,2019-03-21 13:57:38,Poza stacją…,Dworzec Głółwny 
1352,65829814,57803,2019-03-21 13:59:14,2019-03-21 14:00:44,Dworzec Głółwny ,Poza stacją…
1353,65829876,57948,2019-03-21 14:00:10,2019-03-21 14:01:41,Dworzec Głółwny ,Poza stacją…
1354,65829925,57924,2019-03-21 14:00:47,2019-03-21 14:01:56,Dworzec Głółwny ,Dworzec Głółwny 
1355,65830078,57803,2019-03-21 14:02:48,2019-03-21 14:04:39,Poza stacją…,Dworzec Głółwny 
1356,65830160,57924,2019-03-21 14:03:56,2019-03-21 14:04:40,Dworzec Głółwny ,Dworzec Głółwny 
1357,65830247,57803,2019-03-21 14:05:02,2019-03-21 14:06:18,Dworzec Głółwny ,Dworzec Głółwny 
1358,65829819,57078,2019-03-21 13:59:19,2019-03-21 14:06:31,Dworzec Głółwny ,Dworzec Głółwny 
1359,65830343,57924,2019-03-21 14:06:10,2019-03-21 14:07:23,Dworzec Głółwny ,Dworzec Głółwny 
1360,65830348,57948,2019-03-21 14:06:13,2019-03-21 14:07:42,Poza stacją…,Dworzec Głółwny 
1361,65830642,57948,2019-03-21 14:09:47,2019-03-21 14:10:23,Dworzec Głółwny ,Dworzec Głółwny 
1362,65829858,57554,2019-03-21 14:00:00,2019-03-21 14:21:28,Dworzec Głółwny ,Dworzec Głółwny 
1363,65831504,57926,2019-03-21 14:22:32,2019-03-21 14:23:39,Dworzec Głółwny ,Dworzec Głółwny 
1364,65831547,57810,2019-03-21 14:23:10,2019-03-21 14:24:44,Dworzec Głółwny ,Dworzec Głółwny 
1365,65831581,57632,2019-03-21 14:23:38,2019-03-21 14:26:19,Dworzec Głółwny ,Dworzec Głółwny 
1366,65831703,57918,2019-03-21 14:25:21,2019-03-21 14:26:22,Dworzec Głółwny ,Dworzec Głółwny 
1367,65831822,57926,2019-03-21 14:27:06,2019-03-21 14:27:16,Dworzec Głółwny ,Dworzec Głółwny 
1368,65831841,57632,2019-03-21 14:27:23,2019-03-21 14:27:33,Dworzec Głółwny ,Dworzec Głółwny 
1369,65831809,57810,2019-03-21 14:26:47,2019-03-21 14:27:49,Dworzec Głółwny ,Dworzec Głółwny 
1370,65831529,57913,2019-03-21 14:22:54,2019-03-21 14:29:39,Dworzec Głółwny ,Dworzec Głółwny 
1371,65831839,57918,2019-03-21 14:27:22,2019-03-21 14:29:58,Dworzec Głółwny ,Dworzec Głółwny 
1372,65831449,57642,2019-03-21 14:21:40,2019-03-21 14:31:19,Dworzec Głółwny ,Dworzec Głółwny 
1373,65832249,57913,2019-03-21 14:33:11,2019-03-21 14:33:27,Dworzec Głółwny ,Dworzec Głółwny 
1374,65832259,57642,2019-03-21 14:33:19,2019-03-21 14:33:30,Dworzec Głółwny ,Dworzec Głółwny 
1375,65831912,57632,2019-03-21 14:28:20,2019-03-21 14:41:20,Dworzec Głółwny ,Dworzec Głółwny 
1376,65832054,57990,2019-03-21 14:30:11,2019-03-21 14:47:48,Dworzec Głółwny ,Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1377,65832676,57642,2019-03-21 14:39:16,2019-03-21 14:47:51,Dworzec Głółwny ,Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1378,65832694,57554,2019-03-21 14:39:28,2019-03-21 14:47:54,Dworzec Głółwny ,Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1379,65832709,57803,2019-03-21 14:39:40,2019-03-21 14:47:57,Dworzec Głółwny ,Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1380,65828951,57096,2019-03-21 13:47:07,2019-03-21 14:48:00,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1381,65832778,57078,2019-03-21 14:40:38,2019-03-21 14:48:18,Dworzec Głółwny ,Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1382,65884105,57534,2019-03-22 10:16:54,2019-03-22 10:18:44,Poza stacją…,PowstaĹ„cółw Ĺšlą…skich (Arkady Wrocławskie)
1383,65884146,57642,2019-03-22 10:17:47,2019-03-22 10:21:04,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),PowstaĹ„cółw Ĺšlą…skich (Arkady Wrocławskie)
1384,65884234,57534,2019-03-22 10:19:59,2019-03-22 10:21:25,Poza stacją…,Poza stacją…
1385,65884471,57534,2019-03-22 10:26:35,2019-03-22 10:28:09,Poza stacją…,Poza stacją…
1386,65884629,57642,2019-03-22 10:30:26,2019-03-22 10:31:34,Poza stacją…,PowstaĹ„cółw Ĺšlą…skich (Arkady Wrocławskie)
1387,65884783,57534,2019-03-22 10:34:17,2019-03-22 10:37:06,Poza stacją…,Poza stacją…
1388,65884778,57642,2019-03-22 10:34:10,2019-03-22 10:37:09,PowstaĹ„cółw Ĺšlą…skich (Arkady Wrocławskie),PowstaĹ„cółw Ĺšlą…skich (Arkady Wrocławskie)
1389,65884995,57170,2019-03-22 10:39:02,2019-03-22 10:39:14,PowstaĹ„cółw Ĺšlą…skich (Arkady Wrocławskie),Poza stacją…
1390,65885008,57339,2019-03-22 10:39:27,2019-03-22 10:43:57,PowstaĹ„cółw Ĺšlą…skich (Arkady Wrocławskie),Dworzec Głółwny 
1391,65885025,57642,2019-03-22 10:39:41,2019-03-22 10:44:00,PowstaĹ„cółw Ĺšlą…skich (Arkady Wrocławskie),Dworzec Głółwny 
1392,65885367,58044,2019-03-22 10:48:17,2019-03-22 10:56:26,Dworzec Głółwny ,Dworzec Głółwny 
1393,65885658,57642,2019-03-22 10:54:59,2019-03-22 11:08:39,Dworzec Głółwny ,Dworzec Głółwny 
1394,65886803,57339,2019-03-22 11:20:24,2019-03-22 11:23:33,Dworzec Głółwny ,Poza stacją…
1395,65886350,57642,2019-03-22 11:10:42,2019-03-22 11:23:58,Dworzec Głółwny ,Poza stacją…
1396,65887023,57810,2019-03-22 11:24:44,2019-03-22 11:27:17,Dworzec Głółwny ,Poza stacją…
